trial_id,timestamp,parameters,cost_score,service_score,compliance_score,combined_objective,feasibility_rate,total_cost,on_time_rate,violations,solve_time_seconds
1,2025-08-06T08:39:38.569271,"{'cost_weight': 0.38670659698988025, 'service_weight': 0.32047354362729563, 'compliance_weight': 0.29281985938282423, 'max_cascade_depth': 1}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.015201807022094727
2,2025-08-06T08:39:38.617616,"{'cost_weight': 0.446448689390228, 'service_weight': 0.4144271061268404, 'compliance_weight': 0.13912420448293147, 'max_cascade_depth': 1}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.020009994506835938
3,2025-08-06T08:39:38.698724,"{'cost_weight': 0.36769802931198575, 'service_weight': 0.14960411900780263, 'compliance_weight': 0.4826978516802117, 'max_cascade_depth': 2}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.014581918716430664
4,2025-08-06T08:39:38.780985,"{'cost_weight': 0.446177382439701, 'service_weight': 0.3905168967992359, 'compliance_weight': 0.16330572076106314, 'max_cascade_depth': 3}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.016468286514282227
5,2025-08-06T08:39:38.870241,"{'cost_weight': 0.2951616113185518, 'service_weight': 0.37044122409293817, 'compliance_weight': 0.33439716458851004, 'max_cascade_depth': 3}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.019199371337890625
6,2025-08-06T08:39:38.964506,"{'cost_weight': 0.40935329029596124, 'service_weight': 0.38922599944128716, 'compliance_weight': 0.20142071026275168, 'max_cascade_depth': 1}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.015465497970581055
7,2025-08-06T08:39:39.011630,"{'cost_weight': 0.3181349189484134, 'service_weight': 0.31402071330025916, 'compliance_weight': 0.36784436775132756, 'max_cascade_depth': 1}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.019097328186035156
8,2025-08-06T08:39:39.089743,"{'cost_weight': 0.3483276603439137, 'service_weight': 0.4026998935628436, 'compliance_weight': 0.24897244609324273, 'max_cascade_depth': 2}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.010623693466186523
9,2025-08-06T08:39:39.167743,"{'cost_weight': 0.15415325815171024, 'service_weight': 0.3577174149610542, 'compliance_weight': 0.48812932688723554, 'max_cascade_depth': 2}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.009172439575195312
10,2025-08-06T08:39:39.251032,"{'cost_weight': 0.24509988906662344, 'service_weight': 0.5781388934556501, 'compliance_weight': 0.17676121747772647, 'max_cascade_depth': 3}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.015133380889892578
11,2025-08-06T08:39:39.296385,"{'cost_weight': 0.5481753653003544, 'service_weight': 0.31003953450448113, 'compliance_weight': 0.14178510019516452, 'max_cascade_depth': 1}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.010431766510009766
12,2025-08-06T08:39:39.349207,"{'cost_weight': 0.5718869741526138, 'service_weight': 0.09434082378445718, 'compliance_weight': 0.33377220206292907, 'max_cascade_depth': 1}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.017881155014038086
13,2025-08-06T08:39:39.465402,"{'cost_weight': 0.46208893565161896, 'service_weight': 0.41622997883280644, 'compliance_weight': 0.12168108551557467, 'max_cascade_depth': 1}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.01808452606201172
14,2025-08-06T08:39:39.501767,"{'cost_weight': 0.15986633328584943, 'service_weight': 0.5090309648285274, 'compliance_weight': 0.33110270188562324, 'max_cascade_depth': 1}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.002695798873901367
15,2025-08-06T08:39:39.599477,"{'cost_weight': 0.3042093426365834, 'service_weight': 0.17498293619125185, 'compliance_weight': 0.5208077211721648, 'max_cascade_depth': 2}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.031565189361572266
16,2025-08-06T08:39:39.682227,"{'cost_weight': 0.4549825698368076, 'service_weight': 0.32801522446640297, 'compliance_weight': 0.21700220569678944, 'max_cascade_depth': 2}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.008005857467651367
17,2025-08-06T08:39:39.731918,"{'cost_weight': 0.3893246178169292, 'service_weight': 0.4834500584547254, 'compliance_weight': 0.12722532372834544, 'max_cascade_depth': 1}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.013699531555175781
18,2025-08-06T08:39:39.782455,"{'cost_weight': 0.47533400454609925, 'service_weight': 0.18307353267879478, 'compliance_weight': 0.341592462775106, 'max_cascade_depth': 1}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.016004562377929688
19,2025-08-06T08:39:39.833500,"{'cost_weight': 0.3657595489773832, 'service_weight': 0.4562885064726489, 'compliance_weight': 0.1779519445499679, 'max_cascade_depth': 1}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.01670527458190918
20,2025-08-06T08:39:39.916632,"{'cost_weight': 0.3507742007013229, 'service_weight': 0.2026945298390161, 'compliance_weight': 0.446531269459661, 'max_cascade_depth': 2}",0.212,0.76,1.0,0.1568,0.6,3180.0,0.6,0,0.007611989974975586
